train_acc,train_loss,val_acc,val_loss,val_f1,val_precision,val_recall,curr_epoch
0.525,0.7015642,0.35000000000000003,0.7034579,0.25601460055483044,0.17500000000000002,0.5,0
0.525,0.7021836,0.34166666666666673,0.70304173,0.24705911696166574,0.17083333333333336,0.5,1
0.55,0.69771624,0.3291666666666667,0.70245147,0.24253127938472763,0.16458333333333336,0.5,2
0.575,0.69751716,0.3416666666666666,0.70016533,0.2514889431556098,0.1708333333333333,0.5,3
0.55,0.7019064,0.3333333333333333,0.69807595,0.24351157344378474,0.16666666666666666,0.5,4
0.525,0.6922445,0.39999999999999997,0.69497615,0.3873299535909185,0.4528751273236567,0.45497938880291816,5
0.5,0.6941234,0.5208333333333333,0.6923008,0.3686261130538813,0.34908477279800804,0.40899569180819184,6
0.47500000000000003,0.699423,0.6124999999999999,0.6902353,0.3926974469521744,0.38401416122004356,0.46845619658119664,7
0.55,0.6924962,0.6083333333333333,0.6902252,0.3799688357145457,0.3544311145510836,0.4574467607555843,8
0.525,0.6926054,0.5958333333333333,0.689204,0.38815205851496176,0.35318340786607044,0.4556490384615384,9
0.525,0.6902928,0.5,0.69305944,0.3559335591385091,0.335740723414872,0.39411612692862685,10
0.6000000000000001,0.6836523,0.5041666666666667,0.6915528,0.40104154107386863,0.4031519811028325,0.4214163117655765,11
0.575,0.6809896,0.4958333333333333,0.6935589,0.40588332602881305,0.41072700447700444,0.4178461720741133,12
0.575,0.68253934,0.4916666666666667,0.69410414,0.44396695693637295,0.4530261405261405,0.4486523892773893,13
0.6,0.68040305,0.5041666666666667,0.69470626,0.4605072000669423,0.4794036981536982,0.4809982127077716,14
0.6,0.6768189,0.4958333333333333,0.69288874,0.4687937254316565,0.4907586626336626,0.5079668935367464,15
0.625,0.6757871,0.49166666666666664,0.69540673,0.4771529830609956,0.5347717675842675,0.5377413096163096,16
0.625,0.670985,0.5375,0.69267064,0.5246745530578315,0.5694476275358629,0.5829681892181893,17
0.6000000000000001,0.6754432,0.5666666666666667,0.6941369,0.5637486790939477,0.6561833421208422,0.6487800394050393,18
0.625,0.66689765,0.5625,0.6932284,0.5486832236677439,0.6408944847363965,0.6392165704665705,19
0.6,0.67065966,0.5541666666666666,0.6962344,0.5298418375165199,0.6430941573404809,0.6245127047516753,20
0.625,0.6641401,0.5708333333333334,0.69471747,0.564477307536518,0.6597295066045067,0.6580858377733377,21
0.575,0.66329527,0.5708333333333334,0.69099396,0.5584813844068118,0.6700947847087552,0.6523239491989492,22
0.65,0.65885985,0.5791666666666666,0.6883671,0.5651152127313118,0.6965721200096201,0.6794120231620231,23
0.55,0.661017,0.6,0.68194026,0.5834583643758923,0.7046931112188465,0.6879409227754816,24
0.65,0.6517863,0.6,0.6844144,0.5926461448076908,0.7040041555666555,0.6901952214452214,25
0.6499999999999999,0.6605892,0.6124999999999999,0.6760265,0.6067164321522243,0.7100007631257631,0.7046173189555542,26
0.65,0.6539159,0.6041666666666666,0.6812742,0.5966449348849402,0.7255983803777921,0.6998817155067155,27
0.65,0.6527681,0.6166666666666666,0.6770594,0.6058368336350738,0.7255744493795966,0.6993704212454213,28
0.625,0.6549084,0.6166666666666666,0.6795226,0.6106141739281294,0.7159582179802767,0.7012126762126761,29
0.675,0.64864045,0.625,0.6762486,0.6135575048068879,0.7217927769398357,0.704715828153328,30
0.725,0.6487963,0.6333333333333334,0.6743975,0.6220256916964919,0.7299515299515299,0.7110463984544867,31
0.675,0.64654964,0.6333333333333334,0.6685131,0.6200627010177421,0.7145337301587301,0.7091684561353678,32
0.65,0.6433869,0.6291666666666667,0.6666984,0.6179694389655354,0.7215744903244904,0.7157836376586376,33
0.625,0.6451155,0.6291666666666668,0.6688137,0.6229815384420647,0.729277207677943,0.7201617826617827,34
0.675,0.6387532,0.6208333333333333,0.6711919,0.6044646211936561,0.7276352957757756,0.7105324924258748,35
0.65,0.6509532,0.6291666666666667,0.6721963,0.6122401026370269,0.7229173400129283,0.7022711085211085,36
0.675,0.63957083,0.6250000000000001,0.6712694,0.6154234269118507,0.7253833584715937,0.7150396376499318,37
0.6499999999999999,0.63996536,0.6333333333333333,0.6677411,0.6197523393010672,0.7225476627131039,0.7120914386539386,38
0.675,0.6390289,0.6375000000000001,0.67061204,0.6299008184287159,0.7284995675620677,0.7214143495393496,39
0.675,0.6326632,0.6541666666666667,0.66340035,0.6476048067520955,0.7425761738261739,0.7353879338254338,40
0.675,0.63541543,0.6416666666666666,0.65832764,0.6285658095000145,0.7277757543382544,0.7185607794982795,41
0.7250000000000001,0.6315025,0.6666666666666666,0.65701044,0.6577427483565311,0.7397411616161617,0.7409232515850163,42
0.675,0.63186026,0.6458333333333334,0.66314,0.6351552612178492,0.7402704933954932,0.7206794363044363,43
0.75,0.6218724,0.65,0.66793776,0.6361307545529009,0.7324584558959559,0.7277278889411244,44
0.675,0.6272054,0.65,0.6578528,0.6385101028777836,0.7310631498131498,0.7304084225959225,45
